WEP,Tupel,Main key,KeyGerneration,Tupelanzahl,GetKeyVotes,Key Found,Success,Test Key,millis keyvotes,seconds keyvotes,ms keyvotes,,,ms test,dauer Gesamt
WEP104,20000,main key: bytearrayb'\x1beKR\xe2'),0:00:08.759493,20000,0:00:00.553061,,WAHR,0:00:00.293388,553061,00,553.061,293388,0,293.39,846.45
 WEP104,30000,main key: bytearray(b'\x14\xb3(#\x90'),0:00:17.237135,30000,0:00:00.838107,Key found: bytearray(b'\x14\xb3(#\x90'),FALSCH,0:00:00.004498,838107,00,838.107,004498,0,4.50,842.61
 WEP104,40000,"main key: bytearray(b'\x05V\xf6\x08""')",0:00:29.866596,40000,0:00:01.590355,"Key found: bytearray(b'\x05V\xf6\x08""')",FALSCH,0:00:00.011725,590355,01,1590.355,011725,0,11.73,1602.08
 WEP104,50000,main key: bytearray(b'\x04\x16\xe5\xe6\xdb'),0:00:33.813484,50000,0:00:01.366470,Key found: bytearray(b'\x04\x16\xe5\xe6\xdb'),FALSCH,0:00:00.007000,366470,01,1366.47,007000,0,7.00,1373.47
 WEP104,60000,main key: bytearray(b'\x17X\xe5\xd4\xea'),0:00:42.747303,60000,0:00:01.933015,Key found: bytearray(b'\x17X\xe5\xd4\xea'),FALSCH,0:00:00.018662,933015,01,1933.015,018662,0,18.66,1951.68
 WEP104,70000,main key: bytearray(b'\x98\x1cRCU'),0:00:47.742299,70000,0:00:01.914479,Key found: bytearray(b'\x98\x1cRCU'),FALSCH,0:00:00.010636,914479,01,1914.479,010636,0,10.64,1925.12
 WEP104,80000,main key: bytearray(b'\x07\xf7\xfcj4'),0:00:33.253260,80000,0:00:02.066264,Key found: bytearray(b'\x07\xf7\xfcj4'),FALSCH,"0:00:00.011040	",066264,02,2066.264,"11040	",0,11.04,2077.30
 WEP104,20000,main key: bytearray(b'\xde6\x13\xa2\xca'),0:00:12.533230,20000,0:00:01.093794,,WAHR,0:00:00.566878,093794,01,1093.794,566878,0,566.88,1660.67
 WEP104,30000,main key: bytearray(b'\xf3t\xc1\x8c\xb8'),0:00:20.800387,30000,0:00:01.326825,Key found: bytearray(b'\xf3t\xc1\x8c\xb8'),FALSCH,0:00:00.013811,326825,01,1326.825,013811,0,13.81,1340.64
 WEP104,40000,main key: bytearray(b'\xac\x00\xb5-\xe6'),0:00:25.823518,40000,0:00:01.106179,Key found: bytearray(b'\xac\x00\xb5-\xe6'),FALSCH,0:00:00.006456,106179,01,1106.179,006456,0,6.46,1112.64
 WEP104,50000,main key: bytearray(b'`\xd4@5\x1e'),0:00:21.765683,50000,0:00:01.382204,Key found: bytearray(b'`\xd4@5\x1e'),FALSCH,0:00:00.007325,382204,01,1382.204,007325,0,7.33,1389.53
 WEP104,60000,main key: bytearray(b'F\x10O.\xae'),0:00:26.038301,60000,0:00:03.192541,Key found: bytearray(b'F\x10O.\xae'),FALSCH,0:00:00.016826,192541,03,3192.541,016826,0,16.83,3209.37
 WEP104,70000,main key: bytearray(b';\x06\x19\x9b\xec'),0:00:32.999425,70000,0:00:01.935352,Key found: bytearray(b';\x06\x19\x9b\xec'),FALSCH,0:00:00.009972,935352,01,1935.352,009972,0,9.97,1945.32
 WEP104,80000,main key: bytearray(b'\x8e\xdf%H\x1b'),0:00:34.663630,80000,0:00:02.238645,Key found: bytearray(b'\x8e\xdf%H\x1b'),FALSCH,"0:00:00.011727	",238645,02,2238.645,"11727	",0,11.73,2250.37
 WEP104,20000,main key: bytearray(b'7\xe8\xadJ\x99'),0:00:08.811957,20000,0:00:00.824868,,WAHR,0:00:00.590677,824868,00,824.868,590677,0,590.68,1415.55
 WEP104,30000,main key: bytearray(b'\x14\x05{\xcc\x1c'),0:00:14.486813,30000,0:00:00.843785,,WAHR,0:00:00.276332,843785,00,843.785,276332,0,276.33,1120.12
 WEP104,40000,main key: bytearray(b'\xe5\x84\x9aOy'),0:00:17.375692,40000,0:00:01.088909,Key found: bytearray(b'\xe5\x84\x9aOy'),FALSCH,0:00:00.007048,088909,01,1088.909,007048,0,7.05,1095.96
 WEP104,50000,main key: bytearray(b'\xc8\x91\x95\x1f\xde'),0:00:23.444644,50000,0:00:02.038093,Key found: bytearray(b'\xc8\x91\x95\x1f\xde'),FALSCH,0:00:00.007026,038093,02,2038.093,007026,0,7.03,2045.12
 WEP104,60000,main key: bytearray(b'\xf9\x10\xf7\x15\xc1'),0:00:28.124231,60000,0:00:01.631079,Key found: bytearray(b'\xf9\x10\xf7\x15\xc1'),FALSCH,0:00:00.008572,631079,01,1631.079,008572,0,8.57,1639.65
 WEP104,70000,main key: bytearray(b'\x80\xb1\x02\x1d\xb8'),0:00:31.136593,70000,0:00:03.886682,Key found: bytearray(b'\x80\xb1\x02\x1d\xb8'),FALSCH,0:00:00.019969,886682,03,3886.682,019969,0,19.97,3906.65
 WEP104,80000,"main key: bytearray(b'W""h\xa0\xe2')",0:00:55.943299,80000,0:00:02.124891,"Key found: bytearray(b'W""h\xa0\xe2')",FALSCH,"0:00:00.011369	",124891,02,2124.891,"11369	",0,11.37,2136.26
 WEP104,20000,main key: bytearray(b'\x85z$\rb'),0:00:13.282077,20000,0:00:01.101677,,WAHR,0:00:00.552882,101677,01,1101.677,552882,0,552.88,1654.56
 WEP104,30000,main key: bytearray(b'\xc1\xfaZ]\xf0'),0:00:16.606047,30000,0:00:00.849275,Key found: bytearray(b'\xc1\xfaZ]\xf0'),FALSCH,0:00:00.005377,849275,00,849.275,005377,0,5.38,854.65
 WEP104,40000,main key: bytearray(b'>X>\xda6'),0:00:18.749687,40000,0:00:01.096596,Key found: bytearray(b'>X>\xda6'),FALSCH,0:00:00.005703,096596,01,1096.596,005703,0,5.70,1102.30
 WEP104,50000,main key: bytearray(b'\xeb\xa0y\xb7d'),0:00:34.808400,50000,0:00:02.764792,Key found: bytearray(b'\xeb\xa0y\xb7d'),FALSCH,0:00:00.014333,764792,02,2764.792,014333,0,14.33,2779.13
 WEP104,60000,main key: bytearray(b'G\x80\x16\xffQ'),0:00:40.860262,60000,0:00:03.326198,Key found: bytearray(b'G\x80\x16\xffQ'),FALSCH,0:00:00.016544,326198,03,3326.198,016544,0,16.54,3342.74
 WEP104,70000,main key: bytearray(b'\xd9QP\xc0~'),0:00:40.557019,70000,0:00:01.905199,Key found: bytearray(b'\xd9QP\xc0~'),FALSCH,0:00:00.009881,905199,01,1905.199,009881,0,9.88,1915.08
 WEP104,80000,main key: bytearray(b'\x8aoe\xbd{'),0:00:35.544602,80000,0:00:02.062321,Key found: bytearray(b'\x8aoe\xbd{'),FALSCH,"0:00:00.011024	",062321,02,2062.321,"11024	",0,11.02,2073.35
 WEP104,20000,main key: bytearray(b'\xc7\xf6}\xdc\xda'),0:00:11.282719,20000,0:00:00.555286,,WAHR,0:00:00.273104,555286,00,555.286,273104,0,273.10,828.39
 WEP104,30000,main key: bytearray(b'X\x9fz\x92('),0:00:13.190053,30000,0:00:01.617643,,WAHR,0:00:00.588392,617643,01,1617.643,588392,0,588.39,2206.04
 WEP104,40000,main key: bytearray(b'\x17\xe2E\xab\x05'),0:00:18.915403,40000,0:00:01.096122,Key found: bytearray(b'\x17\xe2E\xab\x05'),FALSCH,0:00:00.005773,096122,01,1096.122,005773,0,5.77,1101.90
 WEP104,50000,main key: bytearray(b'\xdd\xf8K\xdc\x15'),0:00:23.087474,50000,0:00:01.373048,Key found: bytearray(b'\xdd\xf8K\xdc\x15'),FALSCH,0:00:00.006973,373048,01,1373.048,006973,0,6.97,1380.02
 WEP104,60000,main key: bytearray(b'\xe2\x1e\xf7@\x97'),0:00:36.190570,60000,0:00:02.162485,Key found: bytearray(b'\xe2\x1e\xf7@\x97'),FALSCH,0:00:00.008216,162485,02,2162.485,008216,0,8.22,2170.70
 WEP104,70000,main key: bytearray(b'\xeb\xdf\x97\x0b-'),0:00:30.705992,70000,0:00:01.920549,Key found: bytearray(b'\xeb\xdf\x97\x0b-'),FALSCH,0:00:00.009855,920549,01,1920.549,009855,0,9.86,1930.40
 WEP104,80000,main key: bytearray(b'\xcb\xe4\xd8\xbfI'),0:00:37.209663,80000,0:00:02.200141,Key found: bytearray(b'\xcb\xe4\xd8\xbfI'),FALSCH,"0:00:00.011590	",200141,02,2200.141,"11590	",0,11.59,2211.73
 WEP104,20000,main key: bytearray(b'\x92=\x8d\xb6X'),0:00:09.746849,20000,0:00:01.091760,,WAHR,0:00:00.558567,091760,01,1091.76,558567,0,558.57,1650.33
 WEP104,30000,main key: bytearray(b'\x89\xbb\x7f\xdc\xc0'),0:00:13.409918,30000,0:00:00.833757,Key found: bytearray(b'\x89\xbb\x7f\xdc\xc0'),FALSCH,0:00:00.004502,833757,00,833.757,004502,0,4.50,838.26
 WEP104,40000,main key: bytearray(b'+4f\x1f'),0:00:29.807060,40000,0:00:01.091095,,WAHR,0:00:00.287014,091095,01,1091.095,287014,0,287.01,1378.11
 WEP104,50000,main key: bytearray(b'\xc7uA\xa0@'),0:00:30.169127,50000,0:00:01.815893,,WAHR,0:00:00.577658,815893,01,1815.893,577658,0,577.66,2393.55
 WEP104,60000,main key: bytearray(b'N\x8er\xa7\x89'),0:00:32.537675,60000,0:00:01.645460,Key found: bytearray(b'N\x8er\xa7\x89'),FALSCH,0:00:00.008368,645460,01,1645.46,008368,0,8.37,1653.83
 WEP104,70000,main key: bytearray(b'0\r\x07\x87\xde'),0:00:32.487255,70000,0:00:01.910231,Key found: bytearray(b'0\r\x07\x87\xde'),FALSCH,0:00:00.009865,910231,01,1910.231,009865,0,9.87,1920.10
 WEP104,80000,main key: bytearray(b'\xab\xb9\x1d\xcc\xb0'),0:00:53.575131,80000,0:00:02.080952,Key found: bytearray(b'\xab\xb9\x1d\xcc\xb0'),FALSCH,"0:00:00.011224	",080952,02,2080.952,"11224	",0,11.22,2092.18
 WEP104,20000,main key: bytearray(b'b$E\x905'),0:00:10.688755,20000,0:00:00.667265,,WAHR,0:00:00.595322,667265,00,667.265,595322,0,595.32,1262.59
 WEP104,30000,main key: bytearray(b'~\xf4\xfa\xf8\xc7'),0:00:16.853891,30000,0:00:00.832072,Key found: bytearray(b'~\xf4\xfa\xf8\xc7'),FALSCH,0:00:00.004621,832072,00,832.072,004621,0,4.62,836.69
 WEP104,40000,main key: bytearray(b'\x9b\x13\xe9\x9e\x9d'),0:00:17.890667,40000,0:00:01.094451,,WAHR,0:00:00.282565,094451,01,1094.451,282565,0,282.57,1377.02
 WEP104,50000,main key: bytearray(b'\x0b\x867F\xcc'),0:00:23.768472,50000,0:00:01.365739,Key found: bytearray(b'\x0b\x867F\xcc'),FALSCH,0:00:00.007146,365739,01,1365.739,007146,0,7.15,1372.89
 WEP104,60000,main key: bytearray(b'\x00\x95\xfd\xda\x8e'),0:00:31.019963,60000,0:00:01.632192,Key found: bytearray(b'\x00\x95\xfd\xda\x8e'),FALSCH,0:00:00.008413,632192,01,1632.192,008413,0,8.41,1640.61
 WEP104,70000,main key: bytearray(b'QQS\xe6\xe6'),0:00:38.518939,70000,0:00:01.939148,Key found: bytearray(b'QQS\xe6\xe6'),FALSCH,0:00:00.010646,939148,01,1939.148,010646,0,10.65,1949.79
 WEP104,80000,main key: bytearray(b'\x01~\x1c\xf2\xf8'),0:00:39.689660,80000,0:00:02.128136,Key found: bytearray(b'\x01~\x1c\xf2\xf8'),FALSCH,"0:00:00.011596	",128136,02,2128.136,"11596	",0,11.60,2139.73
 WEP104,20000,main key: bytearray(b'\xcf@\xf0a\xea'),0:00:13.580601,20000,0:00:01.094152,Key found: bytearray(b'\xcf@\xf0a\xea'),FALSCH,0:00:00.017777,094152,01,1094.152,017777,0,17.78,1111.93
 WEP104,30000,main key: bytearray(b'n\xd1\xe7Q\xc6'),0:00:18.895286,30000,0:00:01.661038,Key found: bytearray(b'n\xd1\xe7Q\xc6'),FALSCH,0:00:00.009144,661038,01,1661.038,009144,0,9.14,1670.18
 WEP104,40000,main key: bytearray(b'y\x88\xaf\xaa^'),0:00:29.406448,40000,0:00:02.201660,Key found: bytearray(b'y\x88\xaf\xaa^'),FALSCH,0:00:00.011752,201660,02,2201.66,011752,0,11.75,2213.41
 WEP104,50000,main key: bytearray(b'\xceDF\x1c\x8a'),0:00:30.715812,50000,0:00:01.369558,Key found: bytearray(b'\xceDF\x1c\x8a'),FALSCH,0:00:00.006954,369558,01,1369.558,006954,0,6.95,1376.51
 WEP104,60000,main key: bytearray(b'\xf6\x0b\xf9_\x14'),0:00:41.676418,60000,0:00:01.631416,Key found: bytearray(b'\xf6\x0b\xf9_\x14'),FALSCH,0:00:00.008222,631416,01,1631.416,008222,0,8.22,1639.64
 WEP104,70000,main key: bytearray(b'\x01RgTD'),0:00:52.148460,70000,0:00:03.649891,Key found: bytearray(b'\x01RgTD'),FALSCH,0:00:00.019001,649891,03,3649.891,019001,0,19.00,3668.89
