WEP,Tupelanzahl,Mainkey,Dauer,Dauer in ms,Dauer für hacking,Schlüssel verwendet,Schlüssel gefunden,Erfolgreich?,Modell?,
WEP40 ,30000,(b'\xf1\xfb\xa9\xd4W'),0:00:24.377674, 24377 ms,38994,(38 ,"bytearray""(b'\xf1\xfb\xa9\xd4W')"" "," bytearray""(b'\xf1\xfb\xa9?\xec')"" ",False,
WEP40 ,30000,(b'b@B\xec\x12'),0:00:47.796545, 47796 ms,76707,(76 ,"bytearray""(b'b@B\xec\x12')"" "," bytearray""(b'b\xe3\x9f\x8ep')"" ",False,
WEP40 ,30000,"(b\xfb\'""(\x97\xd2"")""",0:00:23.644597, 23644 ms,37072,(37 ,"bytearray""(b""\xfb\'""(\x97\xd2"")"" "," bytearray""(b""\xfb\'\x16\xa9\xd2"")"" ",False,
WEP40 ,30000,(b'\x12~/d\xf8'),0:00:48.779991, 48780 ms,77788,(77 ,"bytearray""(b'\x12~/d\xf8')"" "," bytearray""(b'\x12~/\x0f\xd7')"" ",False,
WEP40 ,30000,(b'\xc6\x89-B\xd1'),0:00:23.741360, 23741 ms,39516,(39 ,"bytearray""(b'\xc6\x89-B\xd1')"" "," bytearray""(b'\xc6\x89-\xa3p')"" ",False,
WEP40 ,30000,(b'Q\xe4v\x9e\xef'),0:00:47.538091, 47538 ms,76609,(76 ,"bytearray""(b'Q\xe4v\x9e\xef')"" "," bytearray""(b'Q\xe4v\xac\x84')"" ",False,
WEP40 ,30000,(b'jQ\xaf\x95\xdc'),0:00:24.241877, 24241 ms,40285,(40 ,"bytearray""(b'jQ\xaf\x95\xdc')"" "," bytearray""(b'\xd8\xe3\xaf\x95\xdc')"" ",False,
WEP40 ,30000,(b'\x14.u\xff\xe0'),0:01:02.760549, 62760 ms,101935,(101 ,"bytearray""(b'\x14.u\xff\xe0')"" "," bytearray""(b'\x14.u\xff\xe0')"" ",True,
WEP40 ,30000,(b'\xde\xfekl\x8c'),0:00:23.508862, 23508 ms,37234,(37 ,"bytearray""(b'\xde\xfekl\x8c')"" "," bytearray""(b'\xde\xfeI\x8e\x8c')"" ",False,
WEP40 ,30000,(b'v|\xb9\xec\x05'),0:01:19.485372, 79485 ms,127392,(127 ,"bytearray""(b'v|\xb9\xec\x05')"" "," bytearray""(b'v|\xb9\xec\x05')"" ",True,
WEP40 ,30000,(b'\xf3~lR\\'),0:00:23.342323, 23342 ms,37986,(37 ,"bytearray""(b'\xf3~lR\\')"" "," bytearray""(b'\xf3~lR\\')"" ",True,
WEP40 ,30000,(b'\xcf.\x12\xe1?'),0:01:17.964894, 77964 ms,127108,(127 ,"bytearray""(b'\xcf.\x12\xe1?')"" "," bytearray""(b'\xcf.\x12j\xb6')"" ",False,
WEP40 ,30000,(b'1s\xf6\x9dd'),0:00:16.940707, 16940 ms,26229,(26 ,"bytearray""(b'1s\xf6\x9dd')"" "," bytearray""(b'1s\xf6\x9dd')"" ",True,
WEP40 ,30000,(b'\x93\xd1\x8dE\xc1'),0:00:12.666986, 12667 ms,17861,(17 ,"bytearray""(b'\x93\xd1\x8dE\xc1')"" "," bytearray""(b'\x93\xd1\x8dg\x9f')"" ",False,
WEP40 ,30000,(b'\x06\xb8Q|\xba'),0:00:08.326851, 8326 ms,13455,(13 ,"bytearray""(b'\x06\xb8Q|\xba')"" "," bytearray""(b'\x06\xb8Q|\xba')"" ",True,
WEP40 ,30000,(b'\xb5\xb9\x9b\x8e\x9e'),0:00:16.040495, 16040 ms,21756,(21 ,"bytearray""(b'\xb5\xb9\x9b\x8e\x9e')"" "," bytearray""(b'\xb5Yh\xf3\xf8')"" ",False,
WEP40 ,30000,(b'\xa4c\xafL\xb9'),0:00:14.904535, 14904 ms,21195,(21 ,"bytearray""(b'\xa4c\xafL\xb9')"" "," bytearray""(b'$\xe3\xafL\xe8')"" ",False,
WEP40 ,30000,(b' \x93\xae\xe2\x89'),0:00:16.661070, 16661 ms,26994,(26 ,"bytearray""(b' \x93\xae\xe2\x89')"" "," bytearray""(b' \x93\xae\xe2Q')"" ",False,
WEP40 ,30000,(b'\xdc\x83\xdb\x11\x05'),0:00:07.760862, 7760 ms,12653,(12 ,"bytearray""(b'\xdc\x83\xdb\x11\x05')"" "," bytearray""(b'\xe5z]\x8f\x05')"" ",False,
WEP40 ,30000,(b'\x99@HZH'),0:00:12.864848, 12864 ms,22101,(22 ,"bytearray""(b'\x99@HZH')"" "," bytearray""(b'\x99@HZH')"" ",True,
WEP40 ,30000,(b'\xc1+\xd7Xs'),0:00:08.135389, 8135 ms,13293,(13 ,"bytearray""(b'\xc1+\xd7Xs')"" "," bytearray""(b'\xc1\x18\xeaXs')"" ",False,
WEP40 ,30000,(b'k\xf0\x1a\xff*'),0:00:16.618181, 16618 ms,27045,(27 ,"bytearray""(b'k\xf0\x1a\xff*')"" "," bytearray""(b'k\xf0\x1a\xff*')"" ",True,
WEP40 ,30000,(b'\x84L\xbfB\x83'),0:00:16.720570, 16720 ms,27204,(27 ,"bytearray""(b'\x84L\xbfB\x83')"" "," bytearray""(b'\x84L6\xcb\xc3')"" ",False,
WEP40 ,30000,(b's\xd9\x87\x91^'),0:00:13.766397, 13766 ms,24187,(24 ,"bytearray""(b's\xd9\x87\x91^')"" "," bytearray""(b'j\xe2\x87\x88g')"" ",False,
WEP40 ,30000,(b'\x08\xaf\xb0\xaft'),0:00:07.935125, 7935 ms,13075,(13 ,"bytearray""(b'\x08\xaf\xb0\xaft')"" "," bytearray""(b'\x08\xaf\xb0\xaft')"" ",True,
WEP40 ,30000,"(bX|\'\xa9\xc5"")""",0:00:16.734395, 16734 ms,27158,(27 ,"bytearray""(b""X|\'\xa9\xc5"")"" "," bytearray""(b""=\x97\'uh"")"" ",False,
WEP40 ,30000,(b'\xb2FBq\xc8'),0:00:07.999327, 7999 ms,13173,(13 ,"bytearray""(b'\xb2FBq\xc8')"" "," bytearray""(b'\xb2FBq\xc8')"" ",True,
WEP40 ,30000,(b'\x1b}\x1e\x83\x9f'),0:00:08.125630, 8125 ms,13522,(13 ,"bytearray""(b'\x1b}\x1e\x83\x9f')"" "," bytearray""(b'\x1b}1U\xba')"" ",False,
WEP40 ,30000,(b'\x84Ox}^'),0:00:12.625953, 12626 ms,19178,(19 ,"bytearray""(b'\x84Ox}^')"" "," bytearray""(b'\x84$\xa3R\x89')"" ",False,
WEP40 ,30000,(b'O\xa7v\xb9\xa0'),0:00:12.247116, 12247 ms,18668,(18 ,"bytearray""(b'O\xa7v\xb9\xa0')"" "," bytearray""(b'O\xa7v\xb9\xa0')"" ",True,
WEP40 ,30000,"(b\xae\x99\'\x0eJ"")""",0:00:08.176488, 8176 ms,13133,(13 ,"bytearray""(b""\xae\x99\'\x0eJ"")"" "," bytearray""(b""\xae\x99\'\x0eJ"")"" ",True,
WEP40 ,30000,(b'X\x18\xa4TU'),0:00:11.697385, 11697 ms,17009,(17 ,"bytearray""(b'X\x18\xa4TU')"" "," bytearray""(b'L$\xa4TU')"" ",False,
WEP40 ,30000,(b'\xe7_P\xf1\xe5'),0:00:07.845447, 7845 ms,12701,(12 ,"bytearray""(b'\xe7_P\xf1\xe5')"" "," bytearray""(b'\xe7_P\xf1\xe5')"" ",True,
WEP40 ,30000,(b'\x80\xda\x16\xa4\xf2'),0:00:11.048843, 11048 ms,17260,(17 ,"bytearray""(b'\x80\xda\x16\xa4\xf2')"" "," bytearray""(b'U\x05\x16\xbb\xdb')"" ",False,
WEP40 ,30000,(b'\xbc\x146z/'),0:00:08.223611, 8223 ms,13461,(13 ,"bytearray""(b'\xbc\x146z/')"" "," bytearray""(b'\xbc\x146\x18\x91')"" ",False,
WEP40 ,30000,(b'\xa9\xce\xb8Xv'),0:00:16.784629, 16784 ms,23232,(23 ,"bytearray""(b'\xa9\xce\xb8Xv')"" "," bytearray""(b'\x1eY\xb8X\xce')"" ",False,
WEP40 ,30000,(b'X\x9cDZ\x96'),0:00:07.959663, 7959 ms,13099,(13 ,"bytearray""(b'X\x9cDZ\x96')"" "," bytearray""(b'E\x18\x023\x96')"" ",False,
WEP40 ,30000,(b'\xc5\tV\x95\xe3'),0:00:16.422768, 16422 ms,26481,(26 ,"bytearray""(b'\xc5\tV\x95\xe3')"" "," bytearray""(b'\xc5\tV\x95\xe3')"" ",True,
WEP40 ,30000,(b'\xc5\xef\xf9\xbc\x80'),0:00:07.830905, 7830 ms,12698,(12 ,"bytearray""(b'\xc5\xef\xf9\xbc\x80')"" "," bytearray""(b'\xc5\xef\xf9\xbc\x80')"" ",True,
WEP40 ,30000,(b'\xc3C\x05;\xed'),0:00:07.908692, 7908 ms,12949,(12 ,"bytearray""(b'\xc3C\x05;\xed')"" "," bytearray""(b'\xc3C\x05;\xed')"" ",True,
WEP40 ,30000,(b'jz\xa6\xcej'),0:00:07.982884, 7982 ms,12994,(12 ,"bytearray""(b'jz\xa6\xcej')"" "," bytearray""(b'jz\xa6\xce\xdf')"" ",False,
WEP40 ,30000,(b'#\x9aC\xcdY'),0:00:07.898105, 7898 ms,12901,(12 ,"bytearray""(b'#\x9aC\xcdY')"" "," bytearray""(b'#\x9aC\xcdY')"" ",True,
WEP40 ,30000,"(b'\x10\x93li')""",0:00:09.355615, 9355 ms,17355,(17 ,"bytearray""(b'\x10""\x93li')"" "," bytearray""(b'\x10\xcc\xe9li')"" ",False,
WEP40 ,30000,(b'C+\x04\xe53'),0:00:15.829033, 15829 ms,25698,(25 ,"bytearray""(b'C+\x04\xe53')"" "," bytearray""(b'C+\x04\xe53')"" ",True,
WEP40 ,30000,(b'\x85\x96gg\xfe'),0:00:07.898844, 7898 ms,12921,(12 ,"bytearray""(b'\x85\x96gg\xfe')"" "," bytearray""(b'\x85\x96gg\xfe')"" ",True,
WEP40 ,30000,(b'_u\x81T\xfd'),0:00:11.016101, 11016 ms,16185,(16 ,"bytearray""(b'_u\x81T\xfd')"" "," bytearray""(b'_\x95aT\xfd')"" ",False,
WEP40 ,30000,(b'i\xa0?\xa0\xc3'),0:00:07.857815, 7857 ms,12782,(12 ,"bytearray""(b'i\xa0?\xa0\xc3')"" "," bytearray""(b'iX\xe5\xb0U')"" ",False,
WEP40 ,30000,(b'd\x89\nsu'),0:00:12.608585, 12608 ms,22977,(22 ,"bytearray""(b'd\x89\nsu')"" "," bytearray""(b'dPCsW')"" ",False,
WEP40 ,30000,"(b')\x8d\xf1X\xee')""",0:00:08.154888, 8154 ms,13431,(13 ,"bytearray""(b')""\x8d\xf1X\xee')"" "," bytearray""(b')""\x8d\xf1X2')"" ",False,
WEP40 ,30000,(b'\xebD\xe3A='),0:00:12.054311, 12054 ms,17221,(17 ,"bytearray""(b'\xebD\xe3A=')"" "," bytearray""(b'Y\xd6\xe3A%')"" ",False,
WEP40 ,30000,(b'\xfb&\xc3\xa7\x8b'),0:00:10.824911, 10824 ms,16076,(16 ,"bytearray""(b'\xfb&\xc3\xa7\x8b')"" "," bytearray""(b'\xfb\xb54\xa7\x8b')"" ",False,
WEP40 ,30000,(b'\nr\xa3.\xf2'),0:00:10.215274, 10215 ms,15502,(15 ,"bytearray""(b'\nr\xa3.\xf2')"" "," bytearray""(b'\nr\x91@\x96')"" ",False,
WEP40 ,30000,(b'\xe5m\x08\xfb\xda'),0:00:08.405189, 8405 ms,13643,(13 ,"bytearray""(b'\xe5m\x08\xfb\xda')"" "," bytearray""(b'\xe5m\x08\xfb\xf3')"" ",False,
WEP40 ,30000,(b'\xd5h^\xd1\\'),0:00:08.354617, 8354 ms,14868,(14 ,"bytearray""(b'\xd5h^\xd1\\')"" "," bytearray""(b'\xd5h^\xd1\\')"" ",True,
WEP40 ,30000,(b'\xc1h\x89?_'),0:00:07.878672, 7878 ms,12886,(12 ,"bytearray""(b'\xc1h\x89?_')"" "," bytearray""(b'\x8f\x9a\x89?_')"" ",False,
WEP40 ,30000,(b'u\x80\xf8$O'),0:00:08.236127, 8236 ms,13516,(13 ,"bytearray""(b'u\x80\xf8$O')"" "," bytearray""(b'u\x80\xf8$O')"" ",True,
WEP40 ,30000,(b'w\x08\xab&F'),0:00:07.754447, 7754 ms,12683,(12 ,"bytearray""(b'w\x08\xab&F')"" "," bytearray""(b';D\x1b\xb6\x05')"" ",False,
WEP40 ,30000,(b'\xc0JKP\xe9'),0:00:08.091884, 8091 ms,13295,(13 ,"bytearray""(b'\xc0JKP\xe9')"" "," bytearray""(b'\xc0J\x9d\xfe\xe9')"" ",False,
WEP40 ,30000,(b'\xbbK\xe7v\x8c'),0:00:08.153946, 8154 ms,13537,(13 ,"bytearray""(b'\xbbK\xe7v\x8c')"" "," bytearray""(b'\xfb\x0b\xe7v5')"" ",False,
WEP40 ,30000,(b'\xe9\x84\x8e\xa2\xe9'),0:00:08.085548, 8085 ms,13302,(13 ,"bytearray""(b'\xe9\x84\x8e\xa2\xe9')"" "," bytearray""(b'\xe9\x84\xa0\x90\xe9')"" ",False,
WEP40 ,30000,(b'\xf7y\x91\r\x02'),0:00:07.944334, 7944 ms,13320,(13 ,"bytearray""(b'\xf7y\x91\r\x02')"" "," bytearray""(b'\xf7y\x91\rI')"" ",False,
WEP40 ,30000,(b'$}U\xa6f'),0:00:08.102410, 8102 ms,13292,(13 ,"bytearray""(b'$}U\xa6f')"" "," bytearray""(b'$}U\xa6f')"" ",True,
WEP40 ,30000,"(b'\xc5\xba\xc7\x85')""",0:00:11.032842, 11032 ms,17547,(17 ,"bytearray""(b'""\xc5\xba\xc7\x85')"" "," bytearray""(b'""\xc5\xba\xc7\xba')"" ",False,
WEP40 ,30000,(b'\x8b\xac\xd8H\x1f'),0:00:08.709261, 8709 ms,15065,(15 ,"bytearray""(b'\x8b\xac\xd8H\x1f')"" "," bytearray""(b'\x8b\xacA\xdf\x14')"" ",False,
WEP40 ,30000,(b'\x8fd\xb7\xf3\xef'),0:00:07.741556, 7741 ms,12726,(12 ,"bytearray""(b'\x8fd\xb7\xf3\xef')"" "," bytearray""(b'\x8f\xa1z\xf3\xef')"" ",False,
WEP40 ,30000,(b'\x82?\x1eI\xfe'),0:00:11.388069, 11388 ms,19461,(19 ,"bytearray""(b'\x82?\x1eI\xfe')"" "," bytearray""(b'a\x10\x9d\x1a\xa6')"" ",False,
WEP40 ,30000,(b'$Jy9b'),0:00:07.886302, 7886 ms,12746,(12 ,"bytearray""(b'$Jy9b')"" "," bytearray""(b'$Jy9b')"" ",True,
WEP40 ,30000,(b'r\xea\x93\xb4:'),0:00:09.102717, 9102 ms,14210,(14 ,"bytearray""(b'r\xea\x93\xb4:')"" "," bytearray""(b'r\xc3\xba\xb4:')"" ",False,
